"","Date","sulfate","nitrate","ID"
"355","2001-12-21",3.17,1.18,2
"358","2001-12-24",0.555,0.528,2
"361","2001-12-27",1.19,1.76,2
"367","2002-01-02",3.65,4.82,2
"379","2002-01-14",1.75,1.15,2
"388","2002-01-23",3.61,0.574,2
"391","2002-01-26",2.84,1.26,2
"394","2002-01-29",4.22,0.694,2
"400","2002-02-04",1.57,1.99,2
"403","2002-02-07",2.6,0.543,2
"406","2002-02-10",3.28,0.704,2
"409","2002-02-13",1.9,1.51,2
"412","2002-02-16",1.87,1.58,2
"415","2002-02-19",2.72,1.03,2
"418","2002-02-22",4.73,1.7,2
"421","2002-02-25",4.52,0.981,2
"424","2002-02-28",2.54,1.98,2
"427","2002-03-03",1.99,1.48,2
"430","2002-03-06",3.27,2.04,2
"433","2002-03-09",1.87,0.594,2
"436","2002-03-12",3.14,2.3,2
"439","2002-03-15",5.55,0.563,2
"442","2002-03-18",3.04,0.385,2
"445","2002-03-21",5.66,1.44,2
"451","2002-03-27",8.72,0.823,2
"454","2002-03-30",3.33,0.65,2
"457","2002-04-02",3.58,0.869,2
"460","2002-04-05",3.86,3.45,2
"463","2002-04-08",4.99,0.715,2
"466","2002-04-11",3.66,0.584,2
"469","2002-04-14",3.69,0.411,2
"472","2002-04-17",3.98,0.86,2
"475","2002-04-20",6.1,0.761,2
"478","2002-04-23",2.63,0.552,2
"481","2002-04-26",2.23,1.77,2
"484","2002-04-29",2.32,0.563,2
"487","2002-05-02",6.72,1.06,2
"490","2002-05-05",7.3,0.591,2
"493","2002-05-08",6.41,0.729,2
"496","2002-05-11",6.57,1.21,2
"499","2002-05-14",2.74,0.384,2
"502","2002-05-17",4.77,0.526,2
"505","2002-05-20",4.13,0.486,2
"508","2002-05-23",6.88,0.724,2
"511","2002-05-26",4.8,0.924,2
"514","2002-05-29",2.22,0.663,2
"517","2002-06-01",6.33,1.02,2
"520","2002-06-04",11.5,0.76,2
"523","2002-06-07",4.9,0.745,2
"526","2002-06-10",4.07,0.716,2
"529","2002-06-13",6.13,1.13,2
"532","2002-06-16",3.71,0.513,2
"535","2002-06-19",6.29,0.577,2
"538","2002-06-22",5.21,0.522,2
"541","2002-06-25",4.04,0.857,2
"544","2002-06-28",1.78,0.723,2
"547","2002-07-01",8.61,0.771,2
"550","2002-07-04",7.54,1.33,2
"553","2002-07-07",11.2,0.408,2
"559","2002-07-13",4,0.563,2
"562","2002-07-16",6.52,0.41,2
"565","2002-07-19",3.66,0.654,2
"568","2002-07-22",9.77,0.931,2
"571","2002-07-25",5.28,0.555,2
"574","2002-07-28",3.41,0.326,2
"577","2002-07-31",3.44,1.18,2
"580","2002-08-03",13.7,0.618,2
"583","2002-08-06",10.7,0.262,2
"586","2002-08-09",11.4,1.41,2
"589","2002-08-12",4.08,0.541,2
"592","2002-08-15",5.01,0.494,2
"595","2002-08-18",4.3,0.513,2
"598","2002-08-21",6.34,0.822,2
"601","2002-08-24",4.47,0.247,2
"604","2002-08-27",9.18,0.569,2
"607","2002-08-30",5.89,0.59,2
"610","2002-09-02",5.36,0.668,2
"613","2002-09-05",11,0.704,2
"616","2002-09-08",8.31,0.547,2
"619","2002-09-11",18.5,0.538,2
"625","2002-09-17",9.59,2.65,2
"628","2002-09-20",5.43,0.495,2
"632","2002-09-24",13.6,1.75,2
"637","2002-09-29",8.62,1.05,2
"640","2002-10-02",4.78,0.665,2
"646","2002-10-08",8.7,1.66,2
"649","2002-10-11",7.41,1.08,2
"652","2002-10-14",5.99,0.843,2
"655","2002-10-17",2.83,1.33,2
"658","2002-10-20",3.52,0.952,2
"661","2002-10-23",11,2.33,2
"664","2002-10-26",4.34,0.888,2
"667","2002-10-29",4.61,0.609,2
"670","2002-11-01",4.68,2.35,2
"673","2002-11-04",2.83,1.62,2
"676","2002-11-07",4.56,1.96,2
"679","2002-11-10",3.73,0.409,2
"682","2002-11-13",4.6,0.925,2
"688","2002-11-19",4.05,1.76,2
"691","2002-11-22",3,1.75,2
"694","2002-11-25",5.15,1.71,2
"697","2002-11-28",3.83,4.98,2
"703","2002-12-04",3.62,2.8,2
"706","2002-12-07",4.14,6.44,2
"712","2002-12-13",1.97,0.648,2
"715","2002-12-16",3.72,1.75,2
"718","2002-12-19",3.68,0.468,2
"724","2002-12-25",1.65,0.779,2
"730","2002-12-31",2.18,0.47,2
"733","2003-01-03",4.33,1.02,2
"739","2003-01-09",3.79,1.97,2
"742","2003-01-12",0.844,1.74,2
"745","2003-01-15",1.65,4.4,2
"748","2003-01-18",0.917,3.23,2
"751","2003-01-21",3.2,2.31,2
"754","2003-01-24",1.61,4.57,2
"757","2003-01-27",2.6,3.67,2
"760","2003-01-30",6.48,3.32,2
"763","2003-02-02",4.55,1.6,2
"766","2003-02-05",1.07,1.07,2
"772","2003-02-11",3.21,1.64,2
"775","2003-02-14",2.64,1.51,2
"778","2003-02-17",5.66,0.94,2
"781","2003-02-20",5.4,1.94,2
"784","2003-02-23",4.5,1.48,2
"787","2003-02-26",6.08,4.17,2
"793","2003-03-04",3.49,0.946,2
"796","2003-03-07",6.58,3.98,2
"799","2003-03-10",3.06,3.56,2
"802","2003-03-13",3.82,1.09,2
"805","2003-03-16",7.54,0.843,2
"808","2003-03-19",2.69,0.369,2
"811","2003-03-22",3.75,2.01,2
"8131","2003-03-24",4.21,0.789,2
"817","2003-03-28",3.31,0.517,2
"820","2003-03-31",2.46,1.31,2
"823","2003-04-03",5.6,0.827,2
"829","2003-04-09",5.58,1.92,2
"832","2003-04-12",4.71,1.58,2
"835","2003-04-15",7.56,1.23,2
"838","2003-04-18",2.89,0.988,2
"841","2003-04-21",3.49,0.554,2
"844","2003-04-24",3.81,0.914,2
"847","2003-04-27",9.78,1.35,2
"850","2003-04-30",8.81,0.908,2
"853","2003-05-03",5.23,1.51,2
"856","2003-05-06",4.27,0.918,2
"859","2003-05-09",5.95,0.398,2
"862","2003-05-12",1.03,0.25,2
"865","2003-05-15",4.07,1.15,2
"868","2003-05-18",1.71,0.37,2
"871","2003-05-21",5.38,1.15,2
"874","2003-05-24",12.7,1.31,2
"877","2003-05-27",6.54,1,2
"880","2003-05-30",2.5,0.529,2
"883","2003-06-02",5.19,0.686,2
"886","2003-06-05",6.96,0.75,2
"889","2003-06-08",7.12,0.421,2
"892","2003-06-11",3.94,0.478,2
"895","2003-06-14",1.97,0.308,2
"898","2003-06-17",5.04,0.467,2
"901","2003-06-20",6.59,0.757,2
"904","2003-06-23",8.62,0.702,2
"907","2003-06-26",9.13,0.812,2
"910","2003-06-29",5.12,0.42,2
"913","2003-07-02",2.31,0.241,2
"916","2003-07-05",2.99,0.442,2
"919","2003-07-08",3,0.709,2
"922","2003-07-11",3.71,0.465,2
"925","2003-07-14",2.55,0.278,2
"928","2003-07-17",5.01,0.463,2
"931","2003-07-20",2.58,0.358,2
"934","2003-07-23",4.33,0.468,2
"937","2003-07-26",8.36,0.497,2
"940","2003-07-29",3.57,0.551,2
"943","2003-08-01",5.55,0.512,2
"946","2003-08-04",3.94,0.655,2
"949","2003-08-07",7.65,0.418,2
"952","2003-08-10",10.8,0.421,2
"955","2003-08-13",1.66,0.267,2
"958","2003-08-16",8.49,0.862,2
"961","2003-08-19",9.46,0.815,2
"964","2003-08-22",4.27,0.505,2
"967","2003-08-25",16.8,0.566,2
"970","2003-08-28",6.22,1.09,2
"973","2003-08-31",2.19,0.253,2
"976","2003-09-03",3.98,0.384,2
"979","2003-09-06",11.2,0.465,2
"982","2003-09-09",13.9,0.763,2
"985","2003-09-12",7.74,0.839,2
"988","2003-09-15",2.5,0.29,2
"991","2003-09-18",11.3,0.911,2
"994","2003-09-21",6.12,0.501,2
"997","2003-09-24",6.98,0.619,2
"1000","2003-09-27",2.98,0.339,2
"1003","2003-09-30",3.78,0.518,2
"1006","2003-10-03",4.61,0.759,2
"1009","2003-10-06",5.96,2.57,2
"1012","2003-10-09",8.24,1.48,2
"1015","2003-10-12",4.07,0.466,2
"1018","2003-10-15",1.48,0.371,2
"1021","2003-10-18",4.15,2.48,2
"1024","2003-10-21",4.31,0.75,2
"1027","2003-10-24",4.73,0.827,2
"1030","2003-10-27",2.74,0.921,2
"1033","2003-10-30",2.56,0.814,2
"1036","2003-11-02",6.08,1.13,2
"1039","2003-11-05",3.17,0.524,2
"1042","2003-11-08",3.22,1.16,2
"1045","2003-11-11",1.87,0.529,2
"1048","2003-11-14",1.54,1.48,2
"1051","2003-11-17",4.35,0.987,2
"1054","2003-11-20",1.61,0.65,2
"1057","2003-11-23",3.37,0.529,2
"1060","2003-11-26",1.96,0.719,2
"1063","2003-11-29",1.29,1.25,2
"1066","2003-12-02",1.98,0.68,2
"1069","2003-12-05",2.9,0.799,2
"1072","2003-12-08",5.07,1.09,2
"1075","2003-12-11",2.92,0.698,2
"1078","2003-12-14",3.07,0.844,2
"1081","2003-12-17",1.69,0.977,2
"1084","2003-12-20",1.44,1.7,2
"1087","2003-12-23",1.87,0.619,2
"1090","2003-12-26",3.47,1.59,2
"1093","2003-12-29",1.84,0.508,2
"1099","2004-01-04",3.56,0.399,2
"1102","2004-01-07",1.34,2.27,2
"1105","2004-01-10",6.29,2.71,2
"1108","2004-01-13",3.97,1.82,2
"1114","2004-01-19",4.7,3.75,2
"1117","2004-01-22",2.28,2.45,2
"1120","2004-01-25",2.71,0.502,2
"1123","2004-01-28",2.14,2.28,2
"1126","2004-01-31",3,4.54,2
"1129","2004-02-03",4.94,1.6,2
"1132","2004-02-06",2.16,0.487,2
"1135","2004-02-09",3.27,0.488,2
"1138","2004-02-12",2.34,2.41,2
"1141","2004-02-15",2.56,2.87,2
"1147","2004-02-21",3.88,4.35,2
"1150","2004-02-24",6.38,4.72,2
"1153","2004-02-27",3.82,2.73,2
"1156","2004-03-01",1.61,0.82,2
"1159","2004-03-04",1.95,0.719,2
"1162","2004-03-07",1.18,0.395,2
"1165","2004-03-10",4.6,2.51,2
"1168","2004-03-13",2.32,1.27,2
"1171","2004-03-16",3.69,0.737,2
"1174","2004-03-19",4.52,0.936,2
"1177","2004-03-22",2.64,1.89,2
"1180","2004-03-25",3.02,0.536,2
"1183","2004-03-28",1.82,0.759,2
"1186","2004-03-31",2.84,1.17,2
"1189","2004-04-03",2.67,1.03,2
"1192","2004-04-06",3.25,0.889,2
"1198","2004-04-12",3.78,1.29,2
"1201","2004-04-15",4.06,1.32,2
"1204","2004-04-18",5.31,0.577,2
"1207","2004-04-21",3.62,0.567,2
"1210","2004-04-24",3.45,0.66,2
"1213","2004-04-27",2.3,0.548,2
"1216","2004-04-30",3.76,0.687,2
"1219","2004-05-03",4.17,0.513,2
"1222","2004-05-06",4.78,0.924,2
"1225","2004-05-09",6.76,0.677,2
"1228","2004-05-12",5,0.839,2
"1231","2004-05-15",3.77,0.75,2
"1234","2004-05-18",2.62,0.561,2
"1237","2004-05-21",6.33,0.775,2
"1240","2004-05-24",4.73,0.566,2
"1243","2004-05-27",4.36,0.557,2
"1246","2004-05-30",4.48,0.6,2
"1249","2004-06-02",3.71,1.12,2
"1252","2004-06-05",12.1,0.935,2
"1255","2004-06-08",7.29,1.03,2
"1258","2004-06-11",7.55,0.647,2
"1261","2004-06-14",4.7,0.35,2
"1264","2004-06-17",2.84,0.476,2
"1267","2004-06-20",9.05,0.462,2
"1270","2004-06-23",2.06,0.54,2
"1273","2004-06-26",1.95,0.398,2
"1276","2004-06-29",3.37,0.723,2
"1279","2004-07-02",3.51,0.317,2
"1282","2004-07-05",4.79,0.936,2
"1285","2004-07-08",3.83,0.37,2
"1288","2004-07-11",4.21,0.409,2
"1291","2004-07-14",3.66,0.341,2
"1294","2004-07-17",3.65,0.628,2
"1297","2004-07-20",13.7,0.549,2
"1300","2004-07-23",7.6,0.569,2
"1303","2004-07-26",4.09,0.448,2
"1306","2004-07-29",10.3,0.499,2
"1309","2004-08-01",5.46,0.331,2
"1312","2004-08-04",13.9,0.51,2
"1315","2004-08-07",7.14,0.264,2
"1318","2004-08-10",3.54,0.488,2
"1321","2004-08-13",5.32,0.274,2
"1324","2004-08-16",13.3,0.284,2
"1327","2004-08-19",11.1,0.628,2
"1330","2004-08-22",2.1,0.282,2
"1333","2004-08-25",5.03,0.445,2
"1336","2004-08-28",12.4,0.751,2
"1342","2004-09-03",6.16,0.673,2
"1345","2004-09-06",5.39,0.152,2
"1348","2004-09-09",5.31,0.379,2
"1351","2004-09-12",5.52,0.193,2
"1354","2004-09-15",5.32,0.407,2
"1357","2004-09-18",4.26,0.536,2
"1360","2004-09-21",3.03,0.777,2
"1363","2004-09-24",10.3,1.03,2
"1366","2004-09-27",8.89,0.455,2
"1369","2004-09-30",5.05,0.798,2
"1372","2004-10-03",6.33,1.06,2
"1378","2004-10-09",4.79,0.961,2
"1381","2004-10-12",2.68,0.367,2
"1384","2004-10-15",1.14,0.304,2
"1387","2004-10-18",2.66,0.405,2
"1390","2004-10-21",11.2,1.74,2
"1393","2004-10-24",3.07,0.436,2
"1396","2004-10-27",8.2,1.55,2
"1399","2004-10-30",8.96,0.614,2
"1402","2004-11-02",2.53,0.618,2
"1405","2004-11-05",2.22,0.789,2
"1408","2004-11-08",1.51,0.395,2
"1411","2004-11-11",2.8,0.67,2
"1414","2004-11-14",1.49,0.258,2
"1417","2004-11-17",4.84,1.64,2
"1420","2004-11-20",3.23,1.29,2
"1423","2004-11-23",3.19,0.629,2
"1426","2004-11-26",2.02,0.698,2
"1429","2004-11-29",1.73,0.51,2
"1432","2004-12-02",3.64,1.62,2
"1435","2004-12-05",3.09,1.12,2
"1438","2004-12-08",1.82,0.753,2
"1441","2004-12-11",2.31,0.635,2
"1444","2004-12-14",2.33,1.92,2
"1447","2004-12-17",2.3,1.68,2
"1450","2004-12-20",1.65,1.85,2
"1453","2004-12-23",2.32,1.13,2
"1456","2004-12-26",1.62,2.28,2
"1459","2004-12-29",3.04,1.34,2
"1462","2005-01-01",2.15,0.682,2
"1465","2005-01-04",3.25,0.82,2
"1471","2005-01-10",5.33,2.25,2
"1474","2005-01-13",1.14,0.766,2
"1477","2005-01-16",3.62,4.09,2
"1480","2005-01-19",1.73,2.24,2
"1483","2005-01-22",4.16,2.43,2
"1486","2005-01-25",2.51,2.21,2
"1489","2005-01-28",2.52,1.71,2
"1492","2005-01-31",5.42,2.27,2
"1495","2005-02-03",3.53,1.57,2
"1498","2005-02-06",3.97,0.836,2
"1501","2005-02-09",1.81,1.14,2
"1504","2005-02-12",1.87,1.3,2
"1507","2005-02-15",3.61,0.895,2
"1510","2005-02-18",1.45,1.45,2
"1513","2005-02-21",6.07,0.678,2
"1516","2005-02-24",6.89,3.53,2
"1519","2005-02-27",5.02,1.16,2
"1522","2005-03-02",1.83,1.18,2
"1525","2005-03-05",2.03,0.765,2
"1528","2005-03-08",2.41,0.887,2
"1531","2005-03-11",1.4,0.59,2
"1534","2005-03-14",2.77,3.05,2
"1537","2005-03-17",4.53,1.65,2
"1540","2005-03-20",6.17,1.23,2
"1543","2005-03-23",1.54,0.527,2
"1546","2005-03-26",6.03,1.18,2
"1549","2005-03-29",3.25,1.45,2
"1552","2005-04-01",1.03,0.262,2
"1555","2005-04-04",2.65,0.714,2
"1558","2005-04-07",1.93,0.424,2
"1561","2005-04-10",4.47,0.317,2
"1564","2005-04-13",2.14,0.413,2
"1567","2005-04-16",5.14,0.747,2
"1570","2005-04-19",7.49,1.24,2
"1573","2005-04-22",3.54,0.896,2
"1576","2005-04-25",1.25,0.603,2
"1579","2005-04-28",3.05,0.56,2
"1582","2005-05-01",4.89,1.2,2
"1585","2005-05-04",4.59,0.522,2
"1588","2005-05-07",14.7,1.23,2
"1591","2005-05-10",8.58,1.48,2
"1594","2005-05-13",7.23,0.606,2
"1597","2005-05-16",4.26,0.454,2
"1600","2005-05-19",7.03,0.816,2
"1603","2005-05-22",7.83,0.326,2
"1606","2005-05-25",3.98,0.344,2
"1609","2005-05-28",7.77,0.888,2
"1615","2005-06-03",3.86,0.322,2
"1618","2005-06-06",3.19,0.727,2
"1624","2005-06-12",1.16,0.197,2
"1630","2005-06-18",5.7,0.441,2
"1633","2005-06-21",10.6,1.14,2
"1636","2005-06-24",18.4,0.791,2
"1639","2005-06-27",8.55,0.393,2
"1642","2005-06-30",11.3,0.486,2
"1645","2005-07-03",4.97,0.347,2
"1648","2005-07-06",2.41,0.385,2
"1651","2005-07-09",10.4,0.424,2
"1654","2005-07-12",4.69,0.505,2
"1657","2005-07-15",3.38,0.289,2
"1660","2005-07-18",3.55,0.427,2
"1663","2005-07-21",6.34,0.662,2
"1666","2005-07-24",14.1,0.573,2
"1669","2005-07-27",14.6,0.719,2
"1672","2005-07-30",13.3,1.17,2
"1675","2005-08-02",9.08,0.538,2
"1678","2005-08-05",17.4,0.587,2
"1681","2005-08-08",3.76,0.36,2
"1684","2005-08-11",11.1,1.27,2
"1687","2005-08-14",8.21,0.532,2
"1690","2005-08-17",7.22,0.59,2
"1693","2005-08-20",9.35,0.434,2
"1696","2005-08-23",5.86,0.743,2
"1699","2005-08-26",11,0.417,2
"1708","2005-09-04",10.6,0.306,2
"1711","2005-09-07",4.83,0.607,2
"1714","2005-09-10",10.6,0.759,2
"1717","2005-09-13",23.3,0.624,2
"1720","2005-09-16",4.12,0.596,2
"1723","2005-09-19",9.69,0.607,2
"1726","2005-09-22",2.39,0.403,2
"1729","2005-09-25",2.59,0.287,2
"1732","2005-09-28",6.52,0.441,2
"1735","2005-10-01",8.14,0.419,2
"1738","2005-10-04",5.62,0.708,2
"1741","2005-10-07",3.51,0.859,2
"1744","2005-10-10",6.41,0.802,2
"1747","2005-10-13",9.39,0.671,2
"1750","2005-10-16",1.86,0.341,2
"1756","2005-10-22",5.01,0.734,2
"1759","2005-10-25",2.19,0.549,2
"1762","2005-10-28",4.32,0.926,2
"1765","2005-10-31",6.58,0.729,2
"1768","2005-11-03",3.8,0.619,2
"1771","2005-11-06",4.69,0.474,2
"1774","2005-11-09",4.34,0.642,2
"1777","2005-11-12",3.03,0.543,2
"1780","2005-11-15",2.85,0.396,2
"1783","2005-11-18",1.91,1.39,2
"1786","2005-11-21",3.7,1.85,2
"1789","2005-11-24",0.991,0.443,2
"1792","2005-11-27",3.72,0.381,2
"1795","2005-11-30",1.21,1.1,2
"1798","2005-12-03",1.78,0.543,2
"1801","2005-12-06",6.25,3.25,2
"1807","2005-12-12",0.817,0.491,2
"1810","2005-12-15",1.84,0.873,2
"1813","2005-12-18",2.3,1.89,2
"1816","2005-12-21",2.15,2.09,2
"1819","2005-12-24",2.73,1.61,2
"1825","2005-12-30",3.28,3.03,2
"1831","2006-01-05",3.38,2.27,2
"1834","2006-01-08",1.77,0.734,2
"1837","2006-01-11",3.28,1.31,2
"1840","2006-01-14",1.14,0.856,2
"1843","2006-01-17",1.15,0.353,2
"1846","2006-01-20",2.41,0.783,2
"1849","2006-01-23",1.81,0.795,2
"1852","2006-01-26",1.33,1.18,2
"1855","2006-01-29",1.56,0.348,2
"1861","2006-02-04",1.31,0.513,2
"1864","2006-02-07",1.23,2.28,2
"1867","2006-02-10",3.23,2.63,2
"1870","2006-02-13",2.74,2.43,2
"1873","2006-02-16",2.37,0.567,2
"1876","2006-02-19",3.03,3.74,2
"1879","2006-02-22",3.08,0.655,2
"1882","2006-02-25",2.2,1.28,2
"1885","2006-02-28",3.01,0.914,2
"1888","2006-03-03",4.69,3.89,2
